,0
223,http://mmadecisions.com/decision/13862/Justin-Gaethje-vs-Rafael-Fiziev
224,http://mmadecisions.com/decision/13860/Jennifer-Maia-vs-Casey-ONeill
225,http://mmadecisions.com/decision/13859/Marvin-Vettori-vs-Roman-Dolidze
226,http://mmadecisions.com/decision/13856/Chris-Duncan-vs-Omar-Morales
227,http://mmadecisions.com/decision/13854/Lerone-Murphy-vs-Gabriel-Santos
228,http://mmadecisions.com/decision/13851/Joanne-Wood-vs-Luana-Carolina
229,http://mmadecisions.com/decision/13850/Jai-Herbert-vs-Ludovit-Klein
230,http://mmadecisions.com/decision/13849/Veronica-Hardy-vs-Juliana-Miller
231,http://mmadecisions.com/decision/13847/Merab-Dvalishvili-vs-Petr-Yan
232,http://mmadecisions.com/decision/13844/Jonathan-Martinez-vs-Said-Nurmagomedov
233,http://mmadecisions.com/decision/13842/Vitor-Petrino-vs-Anton-Turkalj
234,http://mmadecisions.com/decision/13841/Karl-Williams-vs-Lukasz-Brzeski
235,http://mmadecisions.com/decision/13838/Victor-Henry-vs-Tony-Gravely
236,http://mmadecisions.com/decision/13837/Ariane-Lipski-vs-J.J.-Aldrich
237,http://mmadecisions.com/decision/13835/Carlston-Harris-vs-Jared-Gooden
238,http://mmadecisions.com/decision/13818/Mateusz-Gamrot-vs-Jalin-Turner
239,http://mmadecisions.com/decision/13816/Cody-Garbrandt-vs-Trevin-Jones
240,http://mmadecisions.com/decision/13814/Amanda-Ribas-vs-Viviane-Araujo
241,http://mmadecisions.com/decision/13811/Cameron-Saaiman-vs-Mana-Martinez
242,http://mmadecisions.com/decision/13809/Farid-Basharat-vs-DaMon-Blackshear
243,http://mmadecisions.com/decision/13808/Loik-Radzhabov-vs-Esteban-Ribovics
244,http://mmadecisions.com/decision/13806/Augusto-Sakai-vs-Dontale-Mayes
245,http://mmadecisions.com/decision/13802/Jasmine-Jasudavicius-vs-Gabriella-Fernandes
246,http://mmadecisions.com/decision/13800/Ode-Osbourne-vs-Charles-Johnson
247,http://mmadecisions.com/decision/13798/Nurullo-Aliev-vs-Rafael-Alves
248,http://mmadecisions.com/decision/13783/Zac-Pauga-vs-Jordan-Wright
249,http://mmadecisions.com/decision/13782/Jamal-Pogues-vs-Josh-Parisian
250,http://mmadecisions.com/decision/13781/Marcin-Prachnio-vs-William-Knight
251,http://mmadecisions.com/decision/13780/Alexander-Hernandez-vs-Jim-Miller
252,http://mmadecisions.com/decision/13777/Jamall-Emmers-vs-Khusein-Askhabov
253,http://mmadecisions.com/decision/13772/Islam-Makhachev-vs-Alexander-Volkanovski
254,http://mmadecisions.com/decision/13768/Jimmy-Crute-vs-Alonzo-Menifield
255,http://mmadecisions.com/decision/13767/Modestas-Bukauskas-vs-Tyson-Pedro
256,http://mmadecisions.com/decision/13764/Jamie-Mullarkey-vs-Francisco-Prado
257,http://mmadecisions.com/decision/13763/Jack-Jenkins-vs-Don-Shainis
258,http://mmadecisions.com/decision/13761/Blake-Bilder-vs-Shane-Young
259,http://mmadecisions.com/decision/13773/Elves-Brener-vs-Zubaira-Tukhugov
260,http://mmadecisions.com/decision/13755/Devin-Clark-vs-Da-Un-Jung
261,http://mmadecisions.com/decision/13754/Marcin-Tybura-vs-Blagoy-Ivanov
262,http://mmadecisions.com/decision/13753/Kyle-Nelson-vs-Doo-Ho-Choi
263,http://mmadecisions.com/decision/13750/Jeong-yeong-Lee-vs-Zha-Yi
264,http://mmadecisions.com/decision/13735/Jamahal-Hill-vs-Glover-Teixeira
265,http://mmadecisions.com/decision/13732/Jessica-Andrade-vs-Lauren-Murphy
266,http://mmadecisions.com/decision/13725/Cody-Stamann-vs-Luan-Lacerda
267,http://mmadecisions.com/decision/13723/Nicolas-Dalby-vs-Warlley-Alves
268,http://mmadecisions.com/decision/13722/Josiane-Nunes-vs-Zarah-Fairn
269,http://mmadecisions.com/decision/13717/Sean-Strickland-vs-Nassourdine-Imavov
270,http://mmadecisions.com/decision/13714/Raquel-Pennington-vs-Ketlen-Vieira
