,Round,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td %,Td %,Sub. att,Rev.,Ctrl,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,URL
1,1,Anthony Pettis,0,18 of 30,60%,21 of 33,0 of 0,---,1,1,0:34,18 of 30,14 of 24,2 of 4,2 of 2,17 of 29,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/b55605791a4d72b9
2,2,Dustin Poirier,0,19 of 31,61%,29 of 41,3 of 3,100%,0,0,3:24,19 of 31,18 of 30,0 of 0,1 of 1,3 of 7,0 of 0,16 of 24,http://www.ufcstats.com/fight-details/b55605791a4d72b9
3,2,Anthony Pettis,0,15 of 22,68%,23 of 30,1 of 1,100%,2,1,1:02,15 of 22,15 of 20,0 of 2,0 of 0,5 of 12,0 of 0,10 of 10,http://www.ufcstats.com/fight-details/b55605791a4d72b9
4,3,Dustin Poirier,0,1 of 6,16%,3 of 8,1 of 1,100%,0,0,1:36,1 of 6,1 of 6,0 of 0,0 of 0,1 of 6,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/b55605791a4d72b9
5,3,Anthony Pettis,0,1 of 2,50%,2 of 3,0 of 0,---,1,0,0:00,1 of 2,0 of 1,1 of 1,0 of 0,1 of 2,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/b55605791a4d72b9
0,1,Matt Brown,1,18 of 34,52%,20 of 36,0 of 0,---,0,0,0:01,18 of 34,14 of 30,2 of 2,2 of 2,12 of 28,6 of 6,0 of 0,http://www.ufcstats.com/fight-details/b6b5ec324449befd
1,1,Diego Sanchez,0,12 of 20,60%,13 of 21,0 of 3,0%,0,0,1:30,12 of 20,7 of 12,2 of 5,3 of 3,10 of 18,2 of 2,0 of 0,http://www.ufcstats.com/fight-details/b6b5ec324449befd
0,1,Junior Albini,0,19 of 43,44%,25 of 49,0 of 0,---,0,0,1:07,19 of 43,14 of 35,5 of 8,0 of 0,12 of 33,7 of 10,0 of 0,http://www.ufcstats.com/fight-details/603354ffe9cc0755
1,1,Andrei Arlovski,0,30 of 63,47%,35 of 68,0 of 0,---,0,0,0:00,30 of 63,15 of 47,9 of 10,6 of 6,27 of 58,3 of 5,0 of 0,http://www.ufcstats.com/fight-details/603354ffe9cc0755
2,2,Junior Albini,0,11 of 26,42%,27 of 42,0 of 0,---,0,0,1:53,11 of 26,6 of 21,1 of 1,4 of 4,7 of 22,4 of 4,0 of 0,http://www.ufcstats.com/fight-details/603354ffe9cc0755
3,2,Andrei Arlovski,0,30 of 67,44%,37 of 74,0 of 1,0%,0,0,0:00,30 of 67,17 of 51,9 of 12,4 of 4,26 of 63,4 of 4,0 of 0,http://www.ufcstats.com/fight-details/603354ffe9cc0755
4,3,Junior Albini,0,18 of 37,48%,22 of 42,0 of 1,0%,0,0,0:37,18 of 37,15 of 32,0 of 1,3 of 4,18 of 37,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/603354ffe9cc0755
5,3,Andrei Arlovski,0,32 of 73,43%,34 of 75,0 of 0,---,0,0,0:02,32 of 73,20 of 59,9 of 11,3 of 3,28 of 69,4 of 4,0 of 0,http://www.ufcstats.com/fight-details/603354ffe9cc0755
0,1,Nate Marquardt,0,8 of 18,44%,8 of 18,0 of 1,0%,0,0,0:00,8 of 18,4 of 13,1 of 1,3 of 4,8 of 18,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/7ad85c84025c0db0
1,1,Cezar Ferreira,0,16 of 29,55%,16 of 29,0 of 0,---,0,0,0:00,16 of 29,4 of 15,2 of 4,10 of 10,16 of 28,0 of 1,0 of 0,http://www.ufcstats.com/fight-details/7ad85c84025c0db0
2,2,Nate Marquardt,1,20 of 37,54%,21 of 38,0 of 1,0%,0,0,0:25,20 of 37,11 of 27,6 of 7,3 of 3,14 of 30,6 of 7,0 of 0,http://www.ufcstats.com/fight-details/7ad85c84025c0db0
3,2,Cezar Ferreira,0,18 of 38,47%,18 of 38,0 of 1,0%,0,0,0:18,18 of 38,8 of 23,3 of 7,7 of 8,17 of 37,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/7ad85c84025c0db0
4,3,Nate Marquardt,0,8 of 10,80%,22 of 26,0 of 0,---,0,0,0:16,8 of 10,7 of 9,1 of 1,0 of 0,1 of 3,1 of 1,6 of 6,http://www.ufcstats.com/fight-details/7ad85c84025c0db0
5,3,Cezar Ferreira,0,13 of 14,92%,62 of 68,2 of 3,66%,0,0,4:26,13 of 14,2 of 3,10 of 10,1 of 1,2 of 3,0 of 0,11 of 11,http://www.ufcstats.com/fight-details/7ad85c84025c0db0
0,1,Raphael Assuncao,0,18 of 73,24%,19 of 74,0 of 0,---,0,0,0:00,18 of 73,10 of 61,2 of 5,6 of 7,17 of 72,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/151c597d2e609a4e
1,1,Matthew Lopez,0,18 of 43,41%,18 of 43,1 of 1,100%,0,0,0:18,18 of 43,8 of 31,6 of 8,4 of 4,18 of 43,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/151c597d2e609a4e
2,2,Raphael Assuncao,0,20 of 55,36%,21 of 56,0 of 0,---,0,0,0:00,20 of 55,11 of 43,3 of 5,6 of 7,20 of 55,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/151c597d2e609a4e
3,2,Matthew Lopez,0,11 of 39,28%,13 of 41,0 of 2,0%,0,0,0:11,11 of 39,6 of 31,3 of 6,2 of 2,11 of 39,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/151c597d2e609a4e
4,3,Raphael Assuncao,1,8 of 26,30%,8 of 26,0 of 0,---,0,0,0:01,8 of 26,3 of 19,1 of 2,4 of 5,8 of 26,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/151c597d2e609a4e
5,3,Matthew Lopez,0,5 of 11,45%,5 of 11,0 of 1,0%,0,0,0:00,5 of 11,2 of 6,3 of 5,0 of 0,5 of 11,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/151c597d2e609a4e
0,1,Joe Lauzon,0,1 of 7,14%,1 of 7,0 of 0,---,0,0,0:00,1 of 7,1 of 7,0 of 0,0 of 0,1 of 7,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/935f559ab0521c27
1,1,Clay Guida,1,24 of 40,60%,31 of 48,0 of 0,---,0,0,0:33,24 of 40,20 of 36,1 of 1,3 of 3,6 of 10,0 of 0,18 of 30,http://www.ufcstats.com/fight-details/935f559ab0521c27
0,1,John Dodson,1,19 of 41,46%,19 of 41,0 of 0,---,0,0,0:01,19 of 41,9 of 30,7 of 8,3 of 3,19 of 41,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/5519d7fe2cee8353
