,Round,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td %,Td %,Sub. att,Rev.,Ctrl,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,URL
1,1,Brandon Wolff,0,2 of 5,40%,4 of 7,0 of 1,0%,0,0,0:32,2 of 5,0 of 3,2 of 2,0 of 0,1 of 4,1 of 1,0 of 0,http://www.ufcstats.com/fight-details/54d14f98d4a83def
0,1,George Roop,0,31 of 106,29%,32 of 107,0 of 0,---,0,0,0:00,31 of 106,24 of 98,3 of 4,4 of 4,30 of 104,1 of 2,0 of 0,http://www.ufcstats.com/fight-details/5060770f197e2147
1,1,David Kaplan,0,26 of 52,50%,27 of 54,1 of 2,50%,0,0,0:16,26 of 52,7 of 29,0 of 3,19 of 20,26 of 52,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/5060770f197e2147
2,2,George Roop,0,11 of 44,25%,64 of 102,0 of 0,---,0,0,0:00,11 of 44,7 of 38,2 of 4,2 of 2,8 of 40,1 of 2,2 of 2,http://www.ufcstats.com/fight-details/5060770f197e2147
3,2,David Kaplan,0,7 of 21,33%,51 of 69,3 of 6,50%,0,0,3:03,7 of 21,1 of 12,1 of 1,5 of 8,6 of 20,0 of 0,1 of 1,http://www.ufcstats.com/fight-details/5060770f197e2147
4,3,George Roop,0,20 of 76,26%,37 of 93,0 of 0,---,0,0,0:00,20 of 76,16 of 65,2 of 8,2 of 3,19 of 74,1 of 2,0 of 0,http://www.ufcstats.com/fight-details/5060770f197e2147
5,3,David Kaplan,0,17 of 32,53%,20 of 35,1 of 6,16%,0,0,1:55,17 of 32,2 of 14,4 of 4,11 of 14,16 of 29,1 of 3,0 of 0,http://www.ufcstats.com/fight-details/5060770f197e2147
0,1,Anderson Silva,0,8 of 16,50%,9 of 17,0 of 0,---,0,0,0:11,8 of 16,2 of 9,2 of 3,4 of 4,5 of 13,0 of 0,3 of 3,http://www.ufcstats.com/fight-details/7291a111058dbf0e
1,1,Thales Leites,0,1 of 8,12%,1 of 8,0 of 3,0%,0,0,0:31,1 of 8,0 of 7,0 of 0,1 of 1,1 of 8,0 of 0,0 of 0,http://www.ufcstats.com/fight-details/7291a111058dbf0e
2,2,Anderson Silva,0,8 of 14,57%,12 of 19,0 of 0,---,0,0,0:06,8 of 14,5 of 10,0 of 1,3 of 3,4 of 10,1 of 1,3 of 3,http://www.ufcstats.com/fight-details/7291a111058dbf0e
